borough,n_incidents,median,pct_above_6,p90,gap_vs_best_min,gain_potentiel_min,gain_incidents_an
HILLINGDON,12346,6.08,51.55,9.27,1.78,1.3,2121
BROMLEY,10920,5.83,46.92,9.27,1.53,1.05,1708
RICHMOND UPON THAMES,5776,5.75,44.86,8.78,1.45,0.97,864
ENFIELD,10935,5.73,44.55,9.23,1.43,0.95,1624
HAVERING,8160,5.68,43.8,9.32,1.38,0.9,1191
REDBRIDGE,8432,5.63,42.98,9.07,1.33,0.85,1208
BRENT,12207,5.62,42.03,8.7,1.32,0.84,1710
BEXLEY,7612,5.53,40.78,8.67,1.23,0.75,1035
HARROW,6715,5.6,40.71,8.58,1.3,0.82,911
BARKING AND DAGENHAM,7292,5.58,40.17,8.55,1.28,0.8,976
EALING,13245,5.4,39.83,8.9,1.1,0.62,1758
HOUNSLOW,9615,5.52,39.32,8.58,1.22,0.74,1260
BARNET,13333,5.5,38.9,8.5,1.2,0.72,1729
KINGSTON UPON THAMES,4713,5.17,35.56,8.63,0.87,0.39,559
MERTON,6438,5.2,33.35,8.18,0.9,0.42,716
HARINGEY,11143,5.22,32.82,7.83,0.92,0.44,1219
GREENWICH,11877,5.18,32.72,8.17,0.88,0.4,1295
NEWHAM,12330,5.12,31.56,8.02,0.82,0.34,1297
LEWISHAM,14065,4.98,31.18,7.77,0.68,0.2,1462
WALTHAM FOREST,10079,4.92,30.24,8.17,0.62,0.14,1016
CROYDON,16018,4.98,29.67,8.05,0.68,0.2,1584
SUTTON,7109,5.07,29.12,7.73,0.77,0.29,690
CAMDEN,16088,4.92,27.62,7.77,0.62,0.14,1481
WESTMINSTER,25033,4.92,26.74,7.75,0.62,0.14,2231
WANDSWORTH,11874,4.88,26.44,7.73,0.58,0.1,1046
SOUTHWARK,16093,4.8,25.09,7.37,0.5,0.02,1346
HACKNEY,14278,4.87,24.2,7.4,0.57,0.09,1152
ISLINGTON,12754,4.83,23.93,7.32,0.53,0.05,1017
HAMMERSMITH AND FULHAM,10798,4.78,23.03,7.38,0.48,0.0,829
CITY OF LONDON,3134,4.62,21.12,7.15,0.32,0.0,221
TOWER HAMLETS,15916,4.52,20.41,7.18,0.22,0.0,1083
LAMBETH,16528,4.45,19.18,6.92,0.15,0.0,1057
KENSINGTON AND CHELSEA,12455,4.3,17.83,6.98,0.0,0.0,740
